Слово,Частота,Частота (в %)
и,10393,"4,544%"
в,5169,"2,260%"
не,4273,"1,868%"
что,3829,"1,674%"
он,3718,"1,625%"
на,3294,"1,440%"
с,3028,"1,324%"
как,2108,"0,922%"
я,1891,"0,827%"
его,1864,"0,815%"
к,1748,"0,764%"
то,1617,"0,707%"
она,1517,"0,663%"
но,1238,"0,541%"
это,1216,"0,532%"
было,1122,"0,491%"
сказал,1102,"0,482%"
так,1037,"0,453%"
князь,995,"0,435%"
за,985,"0,431%"
а,969,"0,424%"
всё,905,"0,396%"
ему,895,"0,391%"
по,877,"0,383%"
ее,870,"0,380%"
из,835,"0,365%"
же,785,"0,343%"
о,784,"0,343%"
был,784,"0,343%"
от,770,"0,337%"
у,702,"0,307%"
только,686,"0,300%"
вы,675,"0,295%"
бы,666,"0,291%"
еще,608,"0,266%"
андрей,572,"0,250%"
пьер,536,"0,234%"
ты,531,"0,232%"
для,515,"0,225%"
мне,511,"0,223%"
все,472,"0,206%"
да,472,"0,206%"
наташа,469,"0,205%"
когда,466,"0,204%"
была,453,"0,198%"
него,452,"0,198%"
сказала,450,"0,197%"
себя,435,"0,190%"
ростов,432,"0,189%"
теперь,399,"0,174%"
чтобы,396,"0,173%"
были,396,"0,173%"
быть,386,"0,169%"
ни,385,"0,168%"
уже,379,"0,166%"
они,373,"0,163%"
этого,361,"0,158%"
вот,355,"0,155%"
меня,351,"0,153%"
говорил,351,"0,153%"
время,349,"0,153%"
того,347,"0,152%"
нет,346,"0,151%"
ну,339,"0,148%"
de,337,"0,147%"
очень,333,"0,146%"
их,328,"0,143%"
опять,326,"0,143%"
ничего,319,"0,139%"
ей,319,"0,139%"
который,314,"0,137%"
до,307,"0,134%"
себе,301,"0,132%"
или,300,"0,131%"
будто,293,"0,128%"
этот,287,"0,125%"
том,285,"0,125%"
после,285,"0,125%"
князя,284,"0,124%"
чем,284,"0,124%"
ли,278,"0,122%"
во,272,"0,119%"
княжна,272,"0,119%"
граф,267,"0,117%"
лицо,259,"0,113%"
глаза,258,"0,113%"
которые,258,"0,113%"
всех,258,"0,113%"
ежели,257,"0,112%"
раз,254,"0,111%"
тем,254,"0,111%"
мы,251,"0,110%"
вас,249,"0,109%"
ней,248,"0,108%"
своей,241,"0,105%"
будет,241,"0,105%"
под,239,"0,104%"
николай,239,"0,104%"
где,234,"0,102%"
ним,233,"0,102%"
мой,230,"0,101%"
может,225,"0,098%"
дело,222,"0,097%"
a,221,"0,097%"
своего,219,"0,096%"
вдруг,218,"0,095%"
свою,218,"0,095%"
надо,216,"0,094%"
vous,212,"0,093%"
при,211,"0,092%"
один,211,"0,092%"
вам,207,"0,090%"
более,207,"0,090%"
перед,207,"0,090%"
нее,205,"0,090%"
со,205,"0,090%"
мог,201,"0,088%"
кто,200,"0,087%"
марья,200,"0,087%"
сам,198,"0,087%"
потому,197,"0,086%"
руку,195,"0,085%"
человек,195,"0,085%"
соня,193,"0,084%"
хорошо,192,"0,084%"
le,190,"0,083%"
несколько,184,"0,080%"
анна,184,"0,080%"
про,183,"0,080%"
et,182,"0,080%"
эти,182,"0,080%"
est,180,"0,079%"
другой,179,"0,078%"
que,174,"0,076%"
всегда,174,"0,076%"
la,171,"0,075%"
между,168,"0,073%"
этом,166,"0,073%"
пьера,166,"0,073%"
без,166,"0,073%"
им,166,"0,073%"
через,166,"0,073%"
есть,165,"0,072%"
говорила,164,"0,072%"
спросил,163,"0,071%"
своим,162,"0,071%"
потом,160,"0,070%"
знаю,160,"0,070%"
графиня,159,"0,070%"
которое,157,"0,069%"
нему,156,"0,068%"
людей,156,"0,068%"
день,155,"0,068%"
денисов,154,"0,067%"
думал,152,"0,066%"
борис,152,"0,066%"
тебе,151,"0,066%"
над,148,"0,065%"
которая,148,"0,065%"
друг,148,"0,065%"
нибудь,148,"0,065%"
улыбкой,147,"0,064%"
эту,147,"0,064%"
которого,147,"0,064%"
долохов,146,"0,064%"
два,144,"0,063%"
m,142,"0,062%"
je,142,"0,062%"
андрея,142,"0,062%"
минуту,142,"0,062%"
там,142,"0,062%"
которой,142,"0,062%"
голову,141,"0,062%"
стал,141,"0,062%"
казалось,141,"0,062%"
говорить,140,"0,061%"
отвечал,140,"0,061%"
этой,139,"0,061%"
василий,139,"0,061%"
своих,139,"0,061%"
l,138,"0,060%"
никогда,138,"0,060%"
голос,138,"0,060%"
руки,137,"0,060%"
об,136,"0,059%"
прежде,136,"0,059%"
жизни,135,"0,059%"
человека,135,"0,059%"
свое,134,"0,059%"
даже,134,"0,059%"
них,134,"0,059%"
знал,133,"0,058%"
ваше,132,"0,058%"
больше,131,"0,057%"
слова,130,"0,057%"
видел,130,"0,057%"
глазами,129,"0,056%"
mon,128,"0,056%"
князю,127,"0,056%"
графа,127,"0,056%"
тоже,127,"0,056%"
вместе,126,"0,055%"
улыбаясь,126,"0,055%"
глядя,124,"0,054%"
нужно,124,"0,054%"
сказать,123,"0,054%"
всем,123,"0,054%"
вперед,123,"0,054%"
этих,122,"0,053%"
ростова,121,"0,053%"
чего,120,"0,052%"
видимо,120,"0,052%"
ах,119,"0,052%"
хотел,119,"0,052%"
могу,117,"0,051%"
всего,117,"0,051%"
офицер,117,"0,051%"
несмотря,117,"0,051%"
нем,116,"0,051%"
лица,116,"0,051%"
особенно,116,"0,051%"
разговор,115,"0,050%"
свои,114,"0,050%"
которую,114,"0,050%"
государь,113,"0,049%"
les,112,"0,049%"
которых,111,"0,049%"
тому,111,"0,049%"
много,109,"0,048%"
тот,109,"0,048%"
уж,109,"0,048%"
ж,108,"0,047%"
тут,108,"0,047%"
